,width,size,polarization,pol_std_dev,pol_95%_ci_lower,pol_95%_ci_upper,quops_rate,quops_rate_std_dev,raw_quops_rate,raw_quops_rate_std_dev
0,4,367272,0.6065321460602084,0,0.6065321460602084,1.0,,,,
1,5,330810,0.6065311421252138,0,0.6065311421252138,1.0,,,,
2,6,367272,0.6065321460602084,0,0.6065321460602084,1.0,,,,
3,7,340438,0.6065344326053709,0,0.6065344326053709,1.0,,,,
4,8,367264,0.6065374808928213,0,0.6065374808928213,1.0,,,,
5,9,346032,0.6065433132831197,0,0.6065433132831197,1.0,,,,
6,10,367260,0.6065401483352395,0,0.6065401483352395,1.0,,,,
7,11,349712,0.6065350814188485,0,0.6065350814188485,1.0,,,,
8,12,367272,0.6065321460602084,0,0.6065321460602084,1.0,,,,
9,13,352300,0.6065344822851471,0,0.6065344822851471,1.0,,,,
10,14,367248,0.606548150659665,0,0.606548150659665,1.0,,,,
11,15,329130,0.606546752496533,0,0.606546752496533,1.0,,,,
12,16,341888,0.6065330927799624,0,0.6065330927799624,1.0,,,,
13,17,297432,0.6065494298140458,0,0.6065494298140458,1.0,,,,
14,18,308232,0.6065550050347204,0,0.6065550050347204,1.0,,,,
15,19,268660,0.6065500333407121,0,0.6065500333407121,1.0,,,,
16,20,277880,0.6065361938804903,0,0.6065361938804903,1.0,,,,
17,21,242424,0.6065394302234475,0,0.6065394302234475,1.0,,,,
18,22,250272,0.6065515383459521,0,0.6065515383459521,1.0,,,,
19,23,218362,0.6065482603636597,0,0.6065482603636597,1.0,,,,
20,24,225072,0.6065613434679997,0,0.6065613434679997,1.0,,,,
21,25,196200,0.6065789749168395,0,0.6065789749168395,1.0,,,,
22,26,201968,0.6065572005485517,0,0.6065572005485517,1.0,,,,
23,27,175770,0.6065465413060017,0,0.6065465413060017,1.0,,,,
24,28,180656,0.606587626788884,0,0.606587626788884,1.0,,,,
25,29,156774,0.6065822524480284,0,0.6065822524480284,1.0,,,,
26,30,160980,0.6065637088619003,0,0.6065637088619003,1.0,,,,
27,31,139128,0.6065604283865482,0,0.6065604283865482,1.0,,,,
28,32,142656,0.6066268738999218,0,0.6066268738999218,1.0,,,,
29,33,122628,0.6065707854493264,0,0.6065707854493264,1.0,,,,
30,34,125664,0.6065350402357541,0,0.6065350402357541,1.0,,,,
31,35,107170,0.6065724250039547,0,0.6065724250039547,1.0,,,,
32,36,109656,0.6066841077405886,0,0.6066841077405886,1.0,,,,
33,37,92648,0.6065426163951401,0,0.6065426163951401,1.0,,,,
34,38,94696,0.6067058184822262,0,0.6067058184822262,1.0,,,,
35,39,78936,0.6065436795629717,0,0.6065436795629717,1.0,,,,
36,40,80640,0.6066349221315441,0,0.6066349221315441,1.0,,,,
37,41,65928,0.6066485825641341,0,0.6066485825641341,1.0,,,,
38,42,67284,0.6068017237391056,0,0.6068017237391056,1.0,,,,
39,43,53578,0.6067456756750883,0,0.6067456756750883,1.0,,,,
40,44,54648,0.6068702640608155,0,0.6068702640608155,1.0,,,,
41,45,41850,0.6065376625319991,0,0.6065376625319991,1.0,,,,
42,46,42596,0.6070193034857841,0,0.6070193034857841,1.0,,,,
43,47,30456,0.6072805830275525,0,0.6072805830275525,1.0,,,,
44,48,31104,0.606769928657473,0,0.606769928657473,1.0,,,,
45,49,19600,0.6065492229132613,0,0.6065492229132613,1.0,,,,
46,50,19900,0.607341170013394,0,0.607341170013394,1.0,,,,
47,50,100,0.8760121822180212,0,0.8760121822180212,1.0,,,,
