,width,size,polarization,pol_std_dev,pol_95%_ci_lower,pol_95%_ci_upper,quops_rate,quops_rate_std_dev,raw_quops_rate,raw_quops_rate_std_dev
0,4,31014736,0.606530688196413,0,0.606530688196413,1.0,,,,
1,5,31014730,0.6065307358586974,0,0.6065307358586974,1.0,,,,
2,6,31014732,0.606530720474614,0,0.606530720474614,1.0,,,,
3,7,31014732,0.606530720474614,0,0.606530720474614,1.0,,,,
4,8,31014736,0.606530688196413,0,0.606530688196413,1.0,,,,
5,9,31014738,0.6065306728123332,0,0.6065306728123332,1.0,,,,
6,10,31014720,0.6065308127791339,0,0.6065308127791339,1.0,,,,
7,11,31014720,0.6065308127791339,0,0.6065308127791339,1.0,,,,
8,12,31014720,0.6065308127791339,0,0.6065308127791339,1.0,,,,
9,13,31014724,0.6065307820109554,0,0.6065307820109554,1.0,,,,
10,14,31014732,0.606530720474614,0,0.606530720474614,1.0,,,,
11,15,31014720,0.6065308127791339,0,0.6065308127791339,1.0,,,,
12,16,31014720,0.6065308127791339,0,0.6065308127791339,1.0,,,,
13,17,31014732,0.606530720474614,0,0.606530720474614,1.0,,,,
14,18,30777336,0.6065306971249872,0,0.6065306971249872,1.0,,,,
15,19,30086728,0.6065307880632396,0,0.6065307880632396,1.0,,,,
16,20,29417520,0.6065307336937779,0,0.6065307336937779,1.0,,,,
17,21,28768698,0.6065307026362322,0,0.6065307026362322,1.0,,,,
18,22,28139320,0.6065307783969536,0,0.6065307783969536,1.0,,,,
19,23,27528516,0.6065309159830754,0,0.6065309159830754,1.0,,,,
20,24,26935488,0.6065308874136713,0,0.6065308874136713,1.0,,,,
21,25,26359450,0.6065307751316771,0,0.6065307751316771,1.0,,,,
22,26,25799644,0.6065308231345168,0,0.6065308231345168,1.0,,,,
23,27,25255368,0.6065311591442134,0,0.6065311591442134,1.0,,,,
24,28,24726072,0.6065308204992802,0,0.6065308204992802,1.0,,,,
25,29,24210998,0.6065311844345449,0,0.6065311844345449,1.0,,,,
26,30,23709720,0.6065307152110717,0,0.6065307152110717,1.0,,,,
27,31,23221542,0.606530869854404,0,0.606530869854404,1.0,,,,
28,32,22745984,0.6065312525425465,0,0.6065312525425465,1.0,,,,
29,33,22282656,0.6065307530189751,0,0.6065307530189751,1.0,,,,
30,34,21830924,0.6065311436608104,0,0.6065311436608104,1.0,,,,
31,35,21390460,0.6065311650710725,0,0.6065311650710725,1.0,,,,
32,36,20960784,0.6065314584959718,0,0.6065314584959718,1.0,,,,
33,37,20541586,0.6065309695182063,0,0.6065309695182063,1.0,,,,
34,38,20132324,0.6065315682100055,0,0.6065315682100055,1.0,,,,
35,39,19732830,0.6065309395652813,0,0.6065309395652813,1.0,,,,
36,40,19342560,0.6065314762498275,0,0.6065314762498275,1.0,,,,
37,41,18961352,0.6065311218327213,0,0.6065311218327213,1.0,,,,
38,42,18588780,0.6065312729686713,0,0.6065312729686713,1.0,,,,
39,43,18224604,0.6065311727608634,0,0.6065311727608634,1.0,,,,
40,44,17868488,0.6065314799933209,0,0.6065314799933209,1.0,,,,
41,45,17520210,0.6065315183775407,0,0.6065315183775407,1.0,,,,
42,46,17179528,0.6065310057455873,0,0.6065310057455873,1.0,,,,
43,47,16846116,0.6065310069970703,0,0.6065310069970703,1.0,,,,
44,48,16519776,0.6065309601461708,0,0.6065309601461708,1.0,,,,
45,49,16200282,0.6065308309030714,0,0.6065308309030714,1.0,,,,
46,50,15887400,0.606530848819648,0,0.606530848819648,1.0,,,,
47,51,15580908,0.6065312184785027,0,0.6065312184785027,1.0,,,,
48,52,15280616,0.6065317954973937,0,0.6065317954973937,1.0,,,,
49,53,14986386,0.6065317169163464,0,0.6065317169163464,1.0,,,,
50,54,14698044,0.6065307741766832,0,0.6065307741766832,1.0,,,,
51,55,14415280,0.6065311395376278,0,0.6065311395376278,1.0,,,,
52,56,14137984,0.6065318693583367,0,0.6065318693583367,1.0,,,,
53,57,13866048,0.6065320262683448,0,0.6065320262683448,1.0,,,,
54,58,13599260,0.6065325545351624,0,0.6065325545351624,1.0,,,,
55,59,13337540,0.6065321969750669,0,0.6065321969750669,1.0,,,,
56,60,13080720,0.6065313277307557,0,0.6065313277307557,1.0,,,,
57,61,12828544,0.6065321072786437,0,0.6065321072786437,1.0,,,,
58,62,12581040,0.6065315260433685,0,0.6065315260433685,1.0,,,,
59,63,12337920,0.6065326080759603,0,0.6065326080759603,1.0,,,,
60,64,12099200,0.6065326541893717,0,0.6065326541893717,1.0,,,,
61,65,11864710,0.6065326220953623,0,0.6065326220953623,1.0,,,,
62,66,11634348,0.606532226863723,0,0.606532226863723,1.0,,,,
63,67,11407956,0.6065324331302527,0,0.6065324331302527,1.0,,,,
64,68,11185456,0.6065326433614833,0,0.6065326433614833,1.0,,,,
65,69,10966722,0.6065333505383765,0,0.6065333505383765,1.0,,,,
66,70,10751720,0.6065331037851244,0,0.6065331037851244,1.0,,,,
67,71,10540376,0.6065313296654175,0,0.6065313296654175,1.0,,,,
68,72,10332432,0.606531782114541,0,0.606531782114541,1.0,,,,
69,73,10127874,0.6065327858369415,0,0.6065327858369415,1.0,,,,
70,74,9926656,0.6065333777355404,0,0.6065333777355404,1.0,,,,
71,75,9728700,0.6065333792936171,0,0.6065333792936171,1.0,,,,
72,76,9533896,0.6065334782991194,0,0.6065334782991194,1.0,,,,
73,77,9342256,0.6065313392213713,0,0.6065313392213713,1.0,,,,
74,78,9153456,0.6065333545725919,0,0.6065333545725919,1.0,,,,
75,79,8967606,0.6065348440926522,0,0.6065348440926522,1.0,,,,
76,80,8784800,0.6065312316441563,0,0.6065312316441563,1.0,,,,
77,81,8604630,0.6065316974894583,0,0.6065316974894583,1.0,,,,
78,82,8427140,0.6065333266929631,0,0.6065333266929631,1.0,,,,
79,83,8252358,0.6065334783772559,0,0.6065334783772559,1.0,,,,
80,84,8080128,0.6065348365773826,0,0.6065348365773826,1.0,,,,
81,85,7910610,0.6065307396257953,0,0.6065307396257953,1.0,,,,
82,86,7743268,0.6065356935506344,0,0.6065356935506344,1.0,,,,
83,87,7578570,0.6065335644571753,0,0.6065335644571753,1.0,,,,
84,88,7416112,0.6065352183808663,0,0.6065352183808663,1.0,,,,
85,89,7255992,0.606535851225592,0,0.606535851225592,1.0,,,,
86,90,7098120,0.6065366697183172,0,0.6065366697183172,1.0,,,,
87,91,6942572,0.6065332728269998,0,0.6065332728269998,1.0,,,,
88,92,6789048,0.6065342801144831,0,0.6065342801144831,1.0,,,,
89,93,6637596,0.6065365022688859,0,0.6065365022688859,1.0,,,,
90,94,6488256,0.606536794885945,0,0.606536794885945,1.0,,,,
91,95,6341060,0.6065320722005033,0,0.6065320722005033,1.0,,,,
92,96,6195648,0.6065342861817128,0,0.6065342861817128,1.0,,,,
93,97,6052218,0.6065343205450816,0,0.6065343205450816,1.0,,,,
94,98,5910576,0.6065382320801376,0,0.6065382320801376,1.0,,,,
95,99,5770908,0.6065368142992494,0,0.6065368142992494,1.0,,,,
96,100,5633000,0.6065371449806725,0,0.6065371449806725,1.0,,,,
97,101,5496824,0.6065388877997782,0,0.6065388877997782,1.0,,,,
98,102,5362548,0.6065328856709685,0,0.6065328856709685,1.0,,,,
99,103,5229722,0.606537634101309,0,0.606537634101309,1.0,,,,
100,104,5098704,0.6065353136571637,0,0.6065353136571637,1.0,,,,
101,105,4969230,0.6065365021807178,0,0.6065365021807178,1.0,,,,
102,106,4841444,0.6065325951847265,0,0.6065325951847265,1.0,,,,
103,107,4715062,0.6065360289304961,0,0.6065360289304961,1.0,,,,
104,108,4590216,0.6065387500687623,0,0.6065387500687623,1.0,,,,
105,109,4467038,0.6065318395319209,0,0.6065318395319209,1.0,,,,
106,110,4345000,0.6065421212014387,0,0.6065421212014387,1.0,,,,
107,111,4224660,0.6065374226374566,0,0.6065374226374566,1.0,,,,
108,112,4105696,0.6065336353560967,0,0.6065336353560967,1.0,,,,
109,113,3987996,0.606535873038505,0,0.606535873038505,1.0,,,,
110,114,3871668,0.6065361656503887,0,0.6065361656503887,1.0,,,,
111,115,3756590,0.6065403890700225,0,0.6065403890700225,1.0,,,,
112,116,3642864,0.6065403295772162,0,0.6065403295772162,1.0,,,,
113,117,3530358,0.606542774995387,0,0.606542774995387,1.0,,,,
114,118,3419168,0.6065393198681129,0,0.6065393198681129,1.0,,,,
115,119,3309152,0.6065378561707317,0,0.6065378561707317,1.0,,,,
116,120,3200160,0.6065480017762458,0,0.6065480017762458,1.0,,,,
117,121,3092518,0.6065435203695179,0,0.6065435203695179,1.0,,,,
118,122,2986072,0.606533302168137,0,0.606533302168137,1.0,,,,
119,123,2880414,0.6065489337385487,0,0.6065489337385487,1.0,,,,
120,124,2776112,0.6065417551656683,0,0.6065417551656683,1.0,,,,
121,125,2672750,0.6065445913363174,0,0.6065445913363174,1.0,,,,
122,126,2570400,0.6065496469117977,0,0.6065496469117977,1.0,,,,
123,127,2469134,0.606547834807647,0,0.606547834807647,1.0,,,,
124,128,2368768,0.6065546845952656,0,0.6065546845952656,1.0,,,,
125,129,2269626,0.6065343011373732,0,0.6065343011373732,1.0,,,,
126,130,2171000,0.6065592985447327,0,0.6065592985447327,1.0,,,,
127,131,2073730,0.6065353281591073,0,0.6065353281591073,1.0,,,,
128,132,1977096,0.6065404515921923,0,0.6065404515921923,1.0,,,,
129,133,1881418,0.6065349107873291,0,0.6065349107873291,1.0,,,,
130,134,1786488,0.6065419242801098,0,0.6065419242801098,1.0,,,,
131,135,1692360,0.60655235463734,0,0.60655235463734,1.0,,,,
132,136,1599088,0.6065547945680669,0,0.6065547945680669,1.0,,,,
133,137,1506726,0.6065348893898749,0,0.6065348893898749,1.0,,,,
134,138,1414776,0.6065689409742678,0,0.6065689409742678,1.0,,,,
135,139,1323836,0.6065534797180586,0,0.6065534797180586,1.0,,,,
136,140,1233400,0.6065710875271066,0,0.6065710875271066,1.0,,,,
137,141,1143792,0.6065541083024913,0,0.6065541083024913,1.0,,,,
138,142,1054776,0.6065399817875327,0,0.6065399817875327,1.0,,,,
139,143,966108,0.6065811572703637,0,0.6065811572703637,1.0,,,,
140,144,878112,0.6065929391356988,0,0.6065929391356988,1.0,,,,
141,145,790830,0.6065374699673648,0,0.6065374699673648,1.0,,,,
142,146,703720,0.6065567790889689,0,0.6065567790889689,1.0,,,,
143,147,616812,0.6066433285269965,0,0.6066433285269965,1.0,,,,
144,148,530432,0.6066407113090236,0,0.6066407113090236,1.0,,,,
145,149,444318,0.6065773357675748,0,0.6065773357675748,1.0,,,,
146,150,357900,0.6066879588539803,0,0.6066879588539803,1.0,,,,
147,151,271498,0.6066356809333635,0,0.6066356809333635,1.0,,,,
148,152,184224,0.6068135876626505,0,0.6068135876626505,1.0,,,,
149,152,304,0.8767094145019025,0,0.8767094145019025,1.0,,,,
