,Circuit,D:SP,F:Depth,F:Width,F:2QGC
0,"[Gcnot:0:3Gcnot:1:2][Gcnot:2:1Gypi:0Gxpi2:3][Gcnot:2:1Gcnot:3:0][Gcnot:0:1Gcnot:3:2][Gcnot:3:0Gympi2:1Gypi:2][Gcnot:3:0Gzpi:1Gzpi:2][Gxpi:0Gxmpi2:1Gxpi:2Gzpi:3][Gcnot:0:1Gcnot:3:2][Gcnot:2:3Gypi:0Gzpi:1][Gcnot:1:2Gcnot:3:0][Gcnot:0:1Gcnot:3:2][Gcnot:1:0Gypi2:2Gypi2:3][Gcnot:1:2Gcnot:3:0]@(0,1,2,3)",0.9872502830662384,13,4,19
1,"Gxpi:2Gxpi:2Gympi2:2Gypi:2Gypi2:2Gypi2:2Gxmpi2:2Gypi2:2Gypi2:2Gypi2:2Gzpi:2Gympi2:2Gxpi:2Gypi:2Gympi2:2Gypi:2Gxpi:2Gxpi2:2Gzpi:2Gypi2:2Gxpi:2Gxpi2:2Gypi2:2Gzpi:2Gympi2:2Gxpi2:2Gzpi:2Gympi2:2Gxmpi2:2Gxpi:2Gypi2:2Gympi2:2Gxmpi2:2Gypi2:2Gzpi:2Gxpi:2Gypi:2Gxpi:2Gypi:2Gympi2:2Gypi2:2Gxmpi2:2Gzpi:2Gympi2:2Gxpi2:2Gxpi2:2Gzpi:2Gzpi:2Gxpi2:2Gypi:2Gzpi:2Gzpi:2Gxpi2:2Gypi2:2Gypi2:2Gympi2:2Gxpi2:2Gxmpi2:2Gxpi:2Gxpi:2Gympi2:2Gxpi:2Gypi:2Gzpi:2Gypi2:2Gzpi:2Gzpi:2Gypi:2Gxmpi2:2Gympi2:2Gympi2:2Gympi2:2Gzpi:2Gxpi2:2Gzpi:2Gympi2:2Gxmpi2:2Gxpi2:2Gympi2:2Gxmpi2:2Gypi2:2Gypi:2Gxmpi2:2Gzpi:2Gzpi:2Gxpi2:2Gxpi2:2Gxmpi2:2Gypi:2Gxpi:2Gxpi:2Gxpi:2Gzpi:2@(0,1,2,3)",0.982196156020353,93,4,0
2,"[Gcnot:2:1Gympi2:0Gypi:3][Gcnot:0:3Gxpi2:1Gxpi:2][Gcnot:2:3Gypi2:0Gypi:1][Gcnot:2:3Gxpi2:0Gympi2:1][Gcnot:1:2Gcnot:3:0][Gcnot:0:3Gcnot:2:1][Gcnot:0:1Gxpi:2Gypi:3][Gcnot:1:2Gxmpi2:0Gxmpi2:3][Gxpi2:0Gxpi:1Gzpi:2Gxpi:3][Gxpi2:0Gxpi:1Gypi2:2Gypi2:3][Gcnot:1:0Gympi2:2Gympi2:3][Gxpi:0Gxmpi2:1Gxmpi2:2Gympi2:3][Gzpi:0Gypi:1Gxmpi2:2Gxpi2:3][Gcnot:1:0Gcnot:2:3][Gcnot:0:1Gcnot:3:2][Gcnot:2:1Gcnot:3:0][Gzpi:0Gypi2:1Gympi2:2Gympi2:3][Gcnot:1:0Gypi2:2Gxpi:3]@(0,1,2,3)",0.9784987780459534,18,4,18
3,"Gcnot:2:1[Gypi:1Gxmpi2:2][Gympi2:1Gxmpi2:2][Gympi2:1Gypi:2][Gympi2:1Gxmpi2:2]Gcnot:2:1@(0,1,2,3)",0.9968978897016147,6,4,2
4,"Gypi:2Gzpi:2Gzpi:2Gxmpi2:2Gxpi:2Gzpi:2Gxpi2:2Gypi:2Gxpi2:2Gxpi:2Gxpi:2Gympi2:2Gypi2:2Gympi2:2Gxmpi2:2Gypi:2Gympi2:2Gympi2:2Gypi2:2Gxpi2:2Gzpi:2Gxpi:2Gxmpi2:2Gxpi:2Gxpi2:2Gympi2:2Gypi2:2Gypi:2Gxpi:2Gypi2:2Gypi:2Gzpi:2Gxmpi2:2Gympi2:2Gypi2:2Gzpi:2Gzpi:2Gxmpi2:2Gxpi2:2Gypi2:2Gypi:2Gxpi:2Gxpi2:2Gympi2:2Gxpi2:2Gxmpi2:2Gxpi2:2Gxpi2:2Gypi:2Gxpi:2Gypi:2Gympi2:2Gxpi:2Gxpi2:2Gympi2:2Gypi:2Gympi2:2Gxpi:2Gympi2:2Gxpi:2Gxpi2:2Gympi2:2Gzpi:2Gympi2:2Gypi2:2Gzpi:2Gypi2:2Gypi2:2Gzpi:2Gxmpi2:2Gypi2:2Gxpi2:2Gympi2:2Gympi2:2Gympi2:2Gxpi2:2Gypi:2Gzpi:2Gxpi:2Gxpi2:2Gzpi:2Gypi2:2Gxpi:2Gxmpi2:2Gxmpi2:2Gzpi:2Gzpi:2Gypi2:2Gypi:2Gxmpi2:2Gympi2:2Gxmpi2:2Gypi:2Gxpi:2Gympi2:2Gxpi2:2Gxpi:2Gxmpi2:2Gzpi:2Gympi2:2Gxpi2:2Gympi2:2Gypi:2Gypi2:2Gxmpi2:2Gypi2:2Gxmpi2:2Gympi2:2Gypi2:2Gypi2:2Gypi2:2Gypi:2Gzpi:2Gxpi2:2Gympi2:2Gxpi:2Gypi2:2Gypi:2Gympi2:2Gympi2:2Gympi2:2Gxpi2:2Gypi2:2Gypi2:2Gzpi:2Gympi2:2Gypi:2Gzpi:2Gympi2:2Gxpi:2Gypi:2Gxpi2:2Gxpi:2Gypi2:2Gxpi:2Gzpi:2Gypi:2Gxpi:2Gypi2:2Gxpi2:2Gxpi:2Gxpi2:2Gxmpi2:2@(0,1,2,3)",0.9473320084612844,143,4,0
5,"[Gcnot:3:2Gypi:0Gypi:1][Gxpi2:0Gzpi:1Gzpi:2Gxpi:3][Gympi2:0Gypi2:1Gympi2:2Gzpi:3][Gympi2:0Gympi2:1Gympi2:2Gypi2:3][Gypi2:0Gzpi:1Gxpi:2Gxpi2:3][Gxpi2:0Gxpi2:1Gxpi2:2Gxmpi2:3]@(0,1,2,3)",0.9969771825796526,6,4,1
6,"[Gcnot:1:2Gzpi:3][Gcnot:3:2Gxpi2:1][Gcnot:2:1Gympi2:3][Gxpi2:1Gympi2:2Gypi2:3][Gympi2:1Gxmpi2:2Gympi2:3][Gcnot:2:1Gypi2:3]@(0,1,2,3)",0.9942843174948108,6,4,4
7,"[Gxpi2:0Gxpi2:1Gxpi:2Gxpi:3][Gcnot:3:0Gxmpi2:1Gypi:2][Gcnot:2:1Gympi2:0Gypi2:3][Gcnot:2:1Gypi2:0Gzpi:3][Gcnot:1:0Gzpi:2Gympi2:3][Gcnot:0:3Gcnot:2:1][Gcnot:1:0Gcnot:3:2][Gcnot:2:1Gcnot:3:0][Gcnot:0:1Gcnot:2:3][Gcnot:1:2Gympi2:0Gxpi:3][Gcnot:3:0Gxpi2:1Gxpi:2][Gcnot:1:2Gxpi2:0Gxpi2:3][Gcnot:0:3Gxpi:1Gypi:2][Gcnot:0:1Gympi2:2Gympi2:3][Gcnot:3:0Gympi2:1Gypi:2][Gcnot:1:0Gcnot:2:3]@(0,1,2,3)",0.9814971587584008,16,4,20
8,"[Gzpi:0Gxmpi2:3][Gympi2:0Gypi:3][Gypi:0Gzpi:3][Gypi:0Gypi2:3][Gypi:0Gzpi:3][Gypi2:0Gypi2:3][Gypi2:0Gxmpi2:3][Gxpi2:0Gympi2:3][Gympi2:0Gxpi2:3][Gzpi:0Gxpi:3][Gxmpi2:0Gxmpi2:3]Gcnot:3:0[Gxpi2:0Gxmpi2:3][Gympi2:0Gxpi2:3][Gypi:0Gypi2:3][Gzpi:0Gypi:3][Gxpi:0Gxpi2:3][Gxmpi2:0Gxpi2:3]@(0,1,2,3)",0.993944406039961,18,4,1
9,"[Gcnot:3:2Gzpi:1][Gcnot:2:1Gypi:3][Gcnot:3:2Gympi2:1][Gcnot:2:3Gzpi:1][Gcnot:1:2Gxmpi2:3][Gcnot:2:1Gypi2:3][Gcnot:2:1Gympi2:3][Gcnot:2:1Gypi2:3][Gcnot:1:2Gxpi:3][Gcnot:2:1Gypi:3][Gcnot:2:1Gypi2:3][Gcnot:3:2Gypi2:1][Gcnot:2:1Gzpi:3][Gxmpi2:1Gxmpi2:2Gxmpi2:3][Gcnot:2:3Gzpi:1][Gcnot:2:1Gypi:3][Gcnot:1:2Gypi:3][Gcnot:3:2Gxpi:1][Gcnot:3:2Gxpi2:1][Gcnot:2:1Gxpi2:3][Gcnot:2:1Gypi2:3][Gzpi:1Gzpi:2Gxpi:3][Gxmpi2:1Gzpi:2Gxmpi2:3][Gcnot:1:2Gympi2:3][Gympi2:1Gympi2:2Gypi2:3][Gcnot:1:2Gzpi:3][Gcnot:2:3Gympi2:1][Gcnot:2:3Gympi2:1]@(0,1,2,3)",0.9649296494814432,28,4,24
